"候補識別情報","配置","ファイル種別","関連する既知ファイル","関連する未解決事項","候補とした根拠","既存調査との関係","推定される役割","確度","内容調査の期待効果","調査リスク","優先度","候補群","次段階で推奨する確認内容"
"C:\fchart\README.TXT","C:\fchart\README.TXT",".txt","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\REIT.lst","C:\fchart\REIT.lst",".lst","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\Ritc.cfg","C:\fchart\Ritc.cfg",".cfg","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\Shohin.ini","C:\fchart\Shohin.ini",".ini","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\Shohin.lst","C:\fchart\Shohin.lst",".lst","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\Shohin2.ini","C:\fchart\Shohin2.ini",".ini","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\Shohin2.lst","C:\fchart\Shohin2.lst",".lst","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\Sim.txt","C:\fchart\Sim.txt",".txt","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\SONEKI.INI","C:\fchart\SONEKI.INI",".ini","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\Taisei.cfg","C:\fchart\Taisei.cfg",".cfg","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
"C:\fchart\Textfile.lst","C:\fchart\Textfile.lst",".lst","該当なし","未解決事項への直接寄与は未確認","Phase 1の分類: 設定・定義候補。名称・拡張子・配置のみのメタ情報候補。内容未読。","既存文書では企業識別・DAT項目意味・更新同期等が未確定であり、本表はその補助証拠候補の優先順位付けのみ。","名称・拡張子・配置のみのメタ情報候補","メタ情報候補","現時点では個別内容調査を推奨しない","C:\fchart\原本。内容アクセス・コピー・ハッシュ・実行・変更は別の正式指示と個別承認が必要。","低","G0","対象を限定した別の正式作業指示で、形式確認・安全性確認・必要な読取り範囲を固定する。"
